COD,RUA,REFERENCIA,ABRIGO,LATITUDE,LONGITUDE,ROTA1,ROTA2,ROTA3,ROTA4,ROTA5,ROTA6,ROTA7,ROTA8,ROTA9,ROTA10,ROTA11,ROTA12,ROTA13
842,LUIZ MALHEIROS,175,,-7.212957004085183,-35.92565699480474,303,300,,,,,,,,,,,
843,MARIA GONCALVES DE MELO,DONA LINDU II,SIM,-7.209315989166498,-35.924153029918671,300,303,,,,,,,,,,,
844,MARIA GONCALVES DE MELO,251,,-7.209756039083004,-35.922862971201539,333,,,,,,,,,,,,
845,MARIA GONCALVES DE MELO,224,,-7.210000958293676,-35.921816993504763,333,,,,,,,,,,,,
846,MARIA GONCALVES DE MELO,214 - OPOSTO,SIM,-7.210128027945757,-35.921002021059394,300,303,,,,,,,,,,,
847,JUVENCIO ARRUDA,CCBS - UFCG,SIM,-7.210757005959749,-35.919256992638111,333,,,,,,,,,,,,
848,JUVENCIO ARRUDA,CCBS - UFCG - OPOSTO,SIM,-7.21071601845324,-35.919121038168669,300,303,,,,,,,,,,,
849,JUVENCIO ARRUDA,ACUDE DE BODOCONGO,,-7.211160007864237,-35.917290011420846,303,300,,,,,,,,,,,
850,FRANCISCO PINTO DE OLIVEIRA,REDENTORISTA,SIM,-7.209081966429949,-35.911351013928652,303,300,,,,,,,,,,,
851,FRANCISCO PINTO DE OLIVEIRA,REDENTORISTA - OPOSTO,SIM,-7.208750965073705,-35.911173988133669,333,,,,,,,,,,,,
852,FRANCISCO PINTO DE OLIVEIRA,16,,-7.207263009622693,-35.909745963290334,333,,,,,,,,,,,,
853,FRANCISCO PINTO DE OLIVEIRA,16 - OPOSTO,,-7.2069569863379,-35.909362994134426,303,300,,,,,,,,,,,
854,FRANCISCO PINTO DE OLIVEIRA,810,,-7.206344017758966,-35.908292960375547,333,,,,,,,,,,,,
855,FRANCISCO PINTO DE OLIVEIRA,,,-7.205803971737623,-35.907602962106466,303,300,,,,,,,,,,,
856,MINISTRO ALCIDES CARNEIRO,HOSPITAL DA FAP - PROXIMO,,-7.204827982932329,-35.906408959999681,333,,,,,,,,,,,,
857,MINISTRO ALCIDES CARNEIRO,79,,-7.205320000648499,-35.904767028987408,333,,,,,,,,,,,,
858,OLEGARIO MACIEL,1114,,-7.205998012796044,-35.903399018570781,300,303,,,,,,,,,,,
859,OLEGARIO MACIEL,1069,,-7.2066789586097,-35.902009969577193,333,,,,,,,,,,,,
860,OLEGARIO MACIEL,821,,-7.208257019519806,-35.899893958121538,333,,,,,,,,,,,,
861,OLEGARIO MACIEL,481,,-7.210438996553421,-35.897861011326313,333,505,,,,,,,,,,,
862,JOAO MAURICIO DE MEDEIROS,382 - OPOSTO,,-7.212024014443159,-35.897593041881919,333,,,,,,,,,,,,
863,FRANCISCO ROSA DE FARIAS,37,,-7.213102011010051,-35.897867968305945,333,,,,,,,,,,,,
864,CONDE D'EU,385F,,-7.215466964989901,-35.898406002670527,333,,,,,,,,,,,,
868,CAICO,ESCOLA CARLOS DRUMOND DE ANDRADE - OPOSTO,SIM,-7.231253022328019,-35.927262967452407,066,245,,,,,,,,,,,
870,CAICO,96 - OPOSTO,,-7.228851020336151,-35.92849301174283,066,263,245,,,,,,,,,,
872,CAICO,943 - OPOSTO,,-7.226555971428752,-35.930402996018529,066,263,245,,,,,,,,,,
875,SANTAREM,,,-7.233733981847763,-35.928427968174219,660,263,245,,,,,,,,,,
876,SANTAREM,NECAO BAR - OPOSTO,,-7.233778992667794,-35.928475996479392,660,263,245,,,,,,,,,,
877,JOAQUIM AMORIM JUNIOR,462,,-7.22637701779604,-35.922040035948157,020,,,,,,,,,,,,
878,VICENTE GOMES DE ALMEIDA,1192 - OPOSTO,,-7.225336991250515,-35.925953965634108,020,,,,,,,,,,,,
879,VICENTE GOMES DE ALMEIDA,775 - OPOSTO,,-7.221173029392958,-35.92589202336967,202,,,,,,,,,,,,
880,VICENTE GOMES DE ALMEIDA,735,,-7.22085895948112,-35.925834020599723,020,,,,,,,,,,,,
881,VICENTE GOMES DE ALMEIDA,617 - VIZINHO,,-7.218956016004086,-35.925779035314918,020,,,,,,,,,,,,
882,ARQUELAU DA COSTA GUIMARAES,101,,-7.218899019062519,-35.928972037509084,202,,,,,,,,,,,,
883,ARQUELAU DA COSTA GUIMARAES,150,,-7.218801034614444,-35.929471012204885,020,,,,,,,,,,,,
884,PLINIO LEMOS,2230,,-7.21778498031199,-35.929620964452624,020,,,,,,,,,,,,
885,ENGENHEIRO LOURIVAL DE ANDRADE,300,,-7.222154969349504,-35.916272029280663,222,,,,,,,,,,,,
886,ENGENHEIRO LOURIVAL DE ANDRADE,CENTRO AUTOMOTIVO - OPOSTO,,-7.2306979727,-35.916345035657287,660,,,,,,,,,,,,
887,ENGENHEIRO LOURIVAL DE ANDRADE,1835,,-7.231026040390134,-35.916199022904038,660,,,,,,,,,,,,
888,ENGENHEIRO LOURIVAL DE ANDRADE,1673,,-7.229240024462342,-35.914984988048673,066,263,,,,,,,,,,,
