"","COD","RUA","REFERENCIA","ABRIGO","LATITUDE","LONGITUDE","ROTA"
"3252","220","SEVERINO BEZERRA CABRAL"," EXTRA","SIM",-7.23486604169011,-35.868728030473,"550"
"3253","221","SEVERINO BEZERRA CABRAL ","POLÍCIA FEDERAL","",-7.23320298828185,-35.8700950350612,"550"
"3254","222","SEVERINO BEZERRA CABRAL ","AUTO-MOTIVA","",-7.22968401387334,-35.8730169665068,"550"
"3255","223","SEVERINO BEZERRA CABRAL ","AUTO-MOTIVA","SIM",-7.2295459639281,-35.8731240034103,"550"
"223","224","SEVERINO BEZERRA CABRAL"," 205","",-7.22659796476364,-35.8755740337074,"550"
"4273","230","SEVERINO BEZERRA CABRAL ","HOSPITAL MARIANA","SIM",-7.22638506442308,-35.8759453520179,"550"
"1351","341","PEDRO DA COSTA AGRA"," 202","",-7.2235519811511,-35.868210028857,"550"
"1352","342","PEDRO DA COSTA AGRA","382","",-7.22549398429692,-35.8682830352336,"550"
"1353","343","PEDRO DA COSTA AGRA"," 613 - OPOSTO ","",-7.22736499272287,-35.8683139644563,"550"
"2444","423","JOANA D'ARC","882","",-7.22202798351645,-35.868994994089,"550"
"1434","424","PEDRO DA COSTA AGRA","789 - OPOSTO","",-7.22886401228607,-35.8683619927615,"550"
"2449","428","TERMINAL RODOVIARIO ARGEMIRO DE FIQUEIREDO","PORTAO DE EMBARQUE","",-7.23823498003185,-35.8702259603888,"550"
"2450","429","EUTECIA VITAL RIBEIRO","CEDMEX - OPOSTO","SIM",-7.23944700323045,-35.8725279662758,"550"
"2451","430","BASÍLIO DE ARAUJO","RODOVIARIA","",-7.23739000037313,-35.87079199031,"550"
"2452","431","OTACÍLIO NEPOMUCENO","PARTAGE","SIM",-7.23633798770607,-35.8710150327533,"550"
"2453","432","OTACÍLIO NEPOMUCENO","PARTAGE","SIM",-7.23628803156316,-35.8710580319166,"550"
"2454","433","OTACÍLIO NEPOMUCENO","PARTAGE","SIM",-7.23628803156316,-35.8710580319166,"550"
"2455","434","OTACÍLIO NEPOMUCENO","CITROEN","SIM",-7.23518597893417,-35.8719399757683,"550"
"435","436","TITO SODRE","63","SIM",-7.2268090210855,-35.8720790315419,"550"
"2470","449","ASSEMBLEIA DE DEUS","468","",-7.22559800371528,-35.912424987182,"550"
"489","490","ABEL COSTA","35","",-7.21805496141315,-35.9082330297679,"550"
"490","491","ABEL COSTA","567 - OPOSTO","SIM",-7.22123798914254,-35.9088829625398,"550"
"1507","497","NILO PECANHA","889","",-7.22441699355841,-35.8966410253197,"550"
"1568","558","RICARDO WAGNER DA SILVEIRA PAZ","149 - OPOSTO","",-7.21982798539102,-35.9122489672154,"550"
"1569","559","RICARDO WAGNER DA SILVEIRA PAZ","88 - OPOSTO","",-7.21769403666258,-35.9123470354825,"550"
"1573","563","JOSE DE ALENCAR","794 - OPOSTO","",-7.2213969938457,-35.899363970384,"550"
"4614","571"," FLORIANO PEIXOTO","1800","",-7.22879100590944,-35.9043090417981,"550"
"9670","572"," FLORIANO PEIXOTO"," 845","",-7.2238630335778,-35.8930979948491,"550"
"3605","573"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"550"
"3606","574"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"550"
"4620","577","SEVERINO BEZERRA CABRAL ","COPASA","SIM",-7.23531497642398,-35.8686000388116,"550"
"4621","578","SEVERINO BEZERRA CABRAL ","COPASA","SIM",-7.23531497642398,-35.8686000388116,"550"
"3611","579","SEVERINO BEZERRA CABRAL ","EXTRA","SIM",-7.23486604169011,-35.868728030473,"550"
"582","583","NILO PECANHA","762","",-7.22266098484397,-35.8962500095367,"550"
"1602","592","ALMEIDA BARRETO","2026","",-7.22923600114882,-35.9062490332872,"550"
"1603","593","ALMEIDA BARRETO","2524","",-7.22914296202362,-35.9075789898634,"550"
"1604","594","ALMEIDA BARRETO","2706","",-7.2290520183742,-35.9092909935862,"550"
"1605","595","ALMEIDA BARRETO","2848","",-7.22898496314883,-35.9104730095714,"550"
"1012","001","CAMPOS SALES","70","",-7.22107898443937,-35.8742099627852,"555"
"3035","002","CAMPOS SALES","274","",-7.22269300371408,-35.8732410147786,"555"
"4141","098","FLORIANO PEIXOTO ","REDE COMPRAS","",-7.21808304078877,-35.880768969655,"555"
"2130","109","FLORIANO PEIXOTO"," REAL CLUBE","SIM",-7.22393997944892,-35.8936429861933,"555"
"4183","140"," FLORIANO PEIXOTO ","PRACA CLEMENTINO PROCOPIO","SIM",-7.21965498290956,-35.8840199746192,"555"
"147","148","CAMPOS SALES","347","",-7.22336196340621,-35.8730499912053,"555"
"4193","150","MININISTRO JOSE AMERICO DE ALMEIDA","141","",-7.21970896236598,-35.8732100017369,"555"
"11328","208","JILO GUEDES","39","SIM",-7.21866801381111,-35.8754870295525,"555"
"5273","219","SEVERINO BEZERRA CABRAL ","COPASA","SIM",-7.23531497642398,-35.8686000388116,"555"
"4263","220","SEVERINO BEZERRA CABRAL"," EXTRA","SIM",-7.23486604169011,-35.868728030473,"555"
"4264","221","SEVERINO BEZERRA CABRAL ","POLÍCIA FEDERAL","",-7.23320298828185,-35.8700950350612,"555"
"221","222","SEVERINO BEZERRA CABRAL ","AUTO-MOTIVA","",-7.22968401387334,-35.8730169665068,"555"
"222","223","SEVERINO BEZERRA CABRAL ","AUTO-MOTIVA","SIM",-7.2295459639281,-35.8731240034103,"555"
"340","341","PEDRO DA COSTA AGRA"," 202","",-7.2235519811511,-35.868210028857,"555"
"341","342","PEDRO DA COSTA AGRA","382","",-7.22549398429692,-35.8682830352336,"555"
"342","343","PEDRO DA COSTA AGRA"," 613 - OPOSTO ","",-7.22736499272287,-35.8683139644563,"555"
"1424","414","XV DE NOVEMBRO","1369","",-7.20284499228001,-35.8953200373799,"555"
"1425","415","XV DE NOVEMBRO","1225","",-7.20426002517343,-35.8949489705265,"555"
"415","416","PROFESSOR BALBINO","601","",-7.20588997006416,-35.8949509821832,"555"
"416","417","SAO JOAO","57","",-7.20772895962,-35.8954359591007,"555"
"417","418","SAO JOAO","271","",-7.20818099565804,-35.8944400213659,"555"
"418","419","DESEMBARGADOR AZEVEDO","791","",-7.2094179969281,-35.893074022606,"555"
"419","420","DESEMBARGADOR AZEVEDO","445 - LATERAL","",-7.21102296374738,-35.891942968592,"555"
"6486","421","TAVARES CAVALCANTE","454 - OPOSTO","",-7.21751902252436,-35.8779509738088,"555"
"6487","422","TAVARES CAVALCANTE","599 - OPOSTO","",-7.21780803054571,-35.8767350111157,"555"
"1433","423","JOANA D'ARC","882","",-7.22202798351645,-35.868994994089,"555"
"423","424","PEDRO DA COSTA AGRA","789 - OPOSTO","",-7.22886401228607,-35.8683619927615,"555"
"424","425","ANTONIO JOSE RODRIGUES","34","",-7.23113802261651,-35.8669339679182,"555"
"425","426","ANTONIO JOSE RODRIGUES","292","",-7.23289302550256,-35.8654859941453,"555"
"426","427","ENGENHEIRO JOSE CELINO FILHO","COLINAS DO MIRANTE (OPOSTO)","",-7.2342779673636,-35.8647990133613,"555"
"3460","428","TERMINAL RODOVIARIO ARGEMIRO DE FIQUEIREDO","PORTAO DE EMBARQUE","",-7.23823498003185,-35.8702259603888,"555"
"3461","429","EUTECIA VITAL RIBEIRO","CEDMEX - OPOSTO","SIM",-7.23944700323045,-35.8725279662758,"555"
"3462","430","BASÍLIO DE ARAUJO","RODOVIARIA","",-7.23739000037313,-35.87079199031,"555"
"3463","431","OTACÍLIO NEPOMUCENO","PARTAGE","SIM",-7.23633798770607,-35.8710150327533,"555"
"3464","432","OTACÍLIO NEPOMUCENO","PARTAGE","SIM",-7.23628803156316,-35.8710580319166,"555"
"3465","433","OTACÍLIO NEPOMUCENO","PARTAGE","SIM",-7.23628803156316,-35.8710580319166,"555"
"3466","434","OTACÍLIO NEPOMUCENO","CITROEN","SIM",-7.23518597893417,-35.8719399757683,"555"
"434","435","JOAO HONORIO DE MELO","76 - OPOSTO","",-7.22868497483432,-35.8725200034678,"555"
"1446","436","TITO SODRE","63","SIM",-7.2268090210855,-35.8720790315419,"555"
"4480","437","CAMPO SALES","ABRIGO JOSE PINHEIRO","",-7.22177099436522,-35.873553995043,"555"
"4481","438","MAXIMINIANO MACHADO","298","",-7.22114101052284,-35.8725110348314,"555"
"2461","440","INDEPENDÊNCIA","432","",-7.22411298193038,-35.89614498429,"555"
